id,name,date,metric_name,metric_value,yeast_type
28,HBC 369,2012-02-01,abv,6.7,Ale
28,HBC 369,2012-02-01,ibu,67,Ale
28,HBC 369,2012-02-01,srm,9.5,Ale
28,HBC 369,2012-02-01,ph,4.4,Ale
28,HBC 369,2012-02-01,target_fg,1064,Ale
29,10 Heads High,2013-04-01,abv,7.8,Ale
29,10 Heads High,2013-04-01,ibu,70,Ale
29,10 Heads High,2013-04-01,srm,45,Ale
29,10 Heads High,2013-04-01,ph,4.4,Ale
29,10 Heads High,2013-04-01,target_fg,1015,Ale
30,Dana - IPA Is Dead,2013-02-01,abv,6.7,Ale
30,Dana - IPA Is Dead,2013-02-01,ibu,70,Ale
30,Dana - IPA Is Dead,2013-02-01,srm,15,Ale
30,Dana - IPA Is Dead,2013-02-01,ph,4.4,Ale
30,Dana - IPA Is Dead,2013-02-01,target_fg,1015,Ale
31,Nanny State,2009-08-01,abv,0.5,Ale
31,Nanny State,2009-08-01,ibu,55,Ale
31,Nanny State,2009-08-01,srm,15,Ale
31,Nanny State,2009-08-01,ph,4.4,Ale
31,Nanny State,2009-08-01,target_fg,1005,Ale
32,AB:05,2010-12-01,abv,12.5,Other
32,AB:05,2010-12-01,ibu,40,Other
32,AB:05,2010-12-01,srm,90,Other
32,AB:05,2010-12-01,ph,4.4,Other
32,AB:05,2010-12-01,target_fg,1030,Other
33,Sorachi Ace,2011-01-01,abv,7.5,Ale
33,Sorachi Ace,2011-01-01,ibu,75,Ale
33,Sorachi Ace,2011-01-01,srm,15,Ale
33,Sorachi Ace,2011-01-01,ph,4.4,Ale
33,Sorachi Ace,2011-01-01,target_fg,1013,Ale
34,Bourbon Baby,2014-01-01,abv,5.8,Ale
34,Bourbon Baby,2014-01-01,ibu,35,Ale
34,Bourbon Baby,2014-01-01,srm,22,Ale
34,Bourbon Baby,2014-01-01,ph,4.4,Ale
34,Bourbon Baby,2014-01-01,target_fg,1005,Ale
35,Berliner Weisse With Raspberries And Rhubarb - B-Sides,2015-11-01,abv,3.6,Ale
35,Berliner Weisse With Raspberries And Rhubarb - B-Sides,2015-11-01,ibu,8,Ale
35,Berliner Weisse With Raspberries And Rhubarb - B-Sides,2015-11-01,srm,,Ale
35,Berliner Weisse With Raspberries And Rhubarb - B-Sides,2015-11-01,ph,3.2,Ale
35,Berliner Weisse With Raspberries And Rhubarb - B-Sides,2015-11-01,target_fg,1007,Ale
36,Shipwrecker Circus (w/ Oskar Blues),2013-09-01,abv,10.5,Ale
36,Shipwrecker Circus (w/ Oskar Blues),2013-09-01,ibu,85,Ale
36,Shipwrecker Circus (w/ Oskar Blues),2013-09-01,srm,32,Ale
36,Shipwrecker Circus (w/ Oskar Blues),2013-09-01,ph,4.4,Ale
36,Shipwrecker Circus (w/ Oskar Blues),2013-09-01,target_fg,1022,Ale
37,Zephyr,2008-10-01,abv,12.5,Ale
37,Zephyr,2008-10-01,ibu,125,Ale
37,Zephyr,2008-10-01,srm,20,Ale
37,Zephyr,2008-10-01,ph,4.4,Ale
37,Zephyr,2008-10-01,target_fg,1016,Ale
38,Belgian Trappist,2013-09-01,abv,6.3,Ale
38,Belgian Trappist,2013-09-01,ibu,55,Ale
38,Belgian Trappist,2013-09-01,srm,15,Ale
38,Belgian Trappist,2013-09-01,ph,4.4,Ale
38,Belgian Trappist,2013-09-01,target_fg,1012,Ale
39,Kohatu - IPA Is Dead,2014-02-01,abv,7.2,Ale
39,Kohatu - IPA Is Dead,2014-02-01,ibu,70,Ale
39,Kohatu - IPA Is Dead,2014-02-01,srm,15,Ale
39,Kohatu - IPA Is Dead,2014-02-01,ph,4.4,Ale
39,Kohatu - IPA Is Dead,2014-02-01,target_fg,1012,Ale
40,Hello My Name is Vladimir,2014-01-01,abv,8.2,Ale
40,Hello My Name is Vladimir,2014-01-01,ibu,70,Ale
40,Hello My Name is Vladimir,2014-01-01,srm,8,Ale
40,Hello My Name is Vladimir,2014-01-01,ph,4.4,Ale
40,Hello My Name is Vladimir,2014-01-01,target_fg,1013,Ale
41,AB:17,2014-10-01,abv,10.7,Ale
41,AB:17,2014-10-01,ibu,100,Ale
41,AB:17,2014-10-01,srm,150,Ale
41,AB:17,2014-10-01,ph,4.3,Ale
41,AB:17,2014-10-01,target_fg,1025,Ale
42,Hardcore IPA,2009-12-01,abv,9.2,Ale
42,Hardcore IPA,2009-12-01,ibu,125,Ale
42,Hardcore IPA,2009-12-01,srm,20,Ale
42,Hardcore IPA,2009-12-01,ph,4.4,Ale
42,Hardcore IPA,2009-12-01,target_fg,1016,Ale
43,American Wheat,2014-07-01,abv,4.5,Other
43,American Wheat,2014-07-01,ibu,17,Other
43,American Wheat,2014-07-01,srm,5,Other
43,American Wheat,2014-07-01,ph,5.3,Other
43,American Wheat,2014-07-01,target_fg,1013,Other
44,Dog Wired (w/8 Wired),2013-06-01,abv,7.1,Lager
44,Dog Wired (w/8 Wired),2013-06-01,ibu,65,Lager
44,Dog Wired (w/8 Wired),2013-06-01,srm,6.5,Lager
44,Dog Wired (w/8 Wired),2013-06-01,ph,4.4,Lager
44,Dog Wired (w/8 Wired),2013-06-01,target_fg,1010,Lager
45,The Physics,2007-04-01,abv,5,Ale
45,The Physics,2007-04-01,ibu,47,Ale
45,The Physics,2007-04-01,srm,32.5,Ale
45,The Physics,2007-04-01,ph,4.4,Ale
45,The Physics,2007-04-01,target_fg,1010,Ale
46,Anarchist Alchemist,2012-03-01,abv,16.5,Ale
46,Anarchist Alchemist,2012-03-01,ibu,20.5,Ale
46,Anarchist Alchemist,2012-03-01,srm,10,Ale
46,Anarchist Alchemist,2012-03-01,ph,4.4,Ale
46,Anarchist Alchemist,2012-03-01,target_fg,1000,Ale
47,AB:15,2013-03-01,abv,12.8,Ale
47,AB:15,2013-03-01,ibu,50,Ale
47,AB:15,2013-03-01,srm,55.5,Ale
47,AB:15,2013-03-01,ph,4.4,Ale
47,AB:15,2013-03-01,target_fg,1020,Ale
48,Goldings - IPA Is Dead,2013-02-01,abv,6.7,Ale
48,Goldings - IPA Is Dead,2013-02-01,ibu,70,Ale
48,Goldings - IPA Is Dead,2013-02-01,srm,15,Ale
48,Goldings - IPA Is Dead,2013-02-01,ph,4.4,Ale
48,Goldings - IPA Is Dead,2013-02-01,target_fg,1015,Ale
49,AB:14,2013-02-01,abv,10,Other
49,AB:14,2013-02-01,ibu,30,Other
49,AB:14,2013-02-01,srm,10,Other
49,AB:14,2013-02-01,ph,4.4,Other
49,AB:14,2013-02-01,target_fg,1016,Other
50,Lost Dog (w/Lost Abbey),2011-11-01,abv,10,Ale
50,Lost Dog (w/Lost Abbey),2011-11-01,ibu,35,Ale
50,Lost Dog (w/Lost Abbey),2011-11-01,srm,40,Ale
50,Lost Dog (w/Lost Abbey),2011-11-01,ph,4.4,Ale
50,Lost Dog (w/Lost Abbey),2011-11-01,target_fg,1012,Ale
51,TM10,2010-04-01,abv,5.5,Other
51,TM10,2010-04-01,ibu,20,Other
51,TM10,2010-04-01,srm,7,Other
51,TM10,2010-04-01,ph,4.2,Other
51,TM10,2010-04-01,target_fg,1005,Other
52,Paradox Islay,2007-04-01,abv,10,Ale
52,Paradox Islay,2007-04-01,ibu,55,Ale
52,Paradox Islay,2007-04-01,srm,152,Ale
52,Paradox Islay,2007-04-01,ph,4.4,Ale
52,Paradox Islay,2007-04-01,target_fg,1014,Ale
53,Baby Dogma,2013-09-01,abv,4.5,Ale
53,Baby Dogma,2013-09-01,ibu,35,Ale
53,Baby Dogma,2013-09-01,srm,20,Ale
53,Baby Dogma,2013-09-01,ph,4.4,Ale
53,Baby Dogma,2013-09-01,target_fg,1013,Ale
54,Albino Squid Assasin,2015-11-01,abv,7.4,Ale
54,Albino Squid Assasin,2015-11-01,ibu,65,Ale
54,Albino Squid Assasin,2015-11-01,srm,30,Ale
54,Albino Squid Assasin,2015-11-01,ph,4.2,Ale
54,Albino Squid Assasin,2015-11-01,target_fg,1012,Ale
55,Amarillo - IPA Is Dead,2013-01-01,abv,7.2,Ale
55,Amarillo - IPA Is Dead,2013-01-01,ibu,70,Ale
55,Amarillo - IPA Is Dead,2013-01-01,srm,15,Ale
55,Amarillo - IPA Is Dead,2013-01-01,ph,4.4,Ale
55,Amarillo - IPA Is Dead,2013-01-01,target_fg,1012,Ale
56,Black Eyed King Imp,2012-11-01,abv,9.5,Ale
56,Black Eyed King Imp,2012-11-01,ibu,85,Ale
56,Black Eyed King Imp,2012-11-01,srm,125,Ale
56,Black Eyed King Imp,2012-11-01,ph,4.4,Ale
56,Black Eyed King Imp,2012-11-01,target_fg,1022,Ale
57,Prototype 27,2010-04-01,abv,9.2,Ale
57,Prototype 27,2010-04-01,ibu,149,Ale
57,Prototype 27,2010-04-01,srm,9.8,Ale
57,Prototype 27,2010-04-01,ph,4.4,Ale
57,Prototype 27,2010-04-01,target_fg,1014,Ale
58,Coffee Imperial Stout,2008-11-01,abv,9,Ale
58,Coffee Imperial Stout,2008-11-01,ibu,65,Ale
58,Coffee Imperial Stout,2008-11-01,srm,49,Ale
58,Coffee Imperial Stout,2008-11-01,ph,4.4,Ale
58,Coffee Imperial Stout,2008-11-01,target_fg,1019,Ale
59,Mandarina Bavaria - IPA Is Dead,2015-03-01,abv,7.2,Ale
59,Mandarina Bavaria - IPA Is Dead,2015-03-01,ibu,100,Ale
59,Mandarina Bavaria - IPA Is Dead,2015-03-01,srm,6,Ale
59,Mandarina Bavaria - IPA Is Dead,2015-03-01,ph,4.4,Ale
59,Mandarina Bavaria - IPA Is Dead,2015-03-01,target_fg,1010,Ale
60,Dogma,2013-07-01,abv,7.5,Lager
60,Dogma,2013-07-01,ibu,30,Lager
60,Dogma,2013-07-01,srm,23,Lager
60,Dogma,2013-07-01,ph,4.5,Lager
60,Dogma,2013-07-01,target_fg,1023,Lager
61,Magic Stone Dog (w/Magic Rock & Stone Brewing Co.),2014-06-01,abv,4.6,Other
61,Magic Stone Dog (w/Magic Rock & Stone Brewing Co.),2014-06-01,ibu,30,Other
61,Magic Stone Dog (w/Magic Rock & Stone Brewing Co.),2014-06-01,srm,7.5,Other
61,Magic Stone Dog (w/Magic Rock & Stone Brewing Co.),2014-06-01,ph,4.4,Other
61,Magic Stone Dog (w/Magic Rock & Stone Brewing Co.),2014-06-01,target_fg,1008,Other
62,AB:08,2011-11-01,abv,10.43,Ale
62,AB:08,2011-11-01,ibu,65,Ale
62,AB:08,2011-11-01,srm,11.5,Ale
62,AB:08,2011-11-01,ph,4.4,Ale
62,AB:08,2011-11-01,target_fg,1016,Ale
63,Sunk Punk,2011-09-01,abv,7.1,Lager
63,Sunk Punk,2011-09-01,ibu,68,Lager
63,Sunk Punk,2011-09-01,srm,7,Lager
63,Sunk Punk,2011-09-01,ph,4.4,Lager
63,Sunk Punk,2011-09-01,target_fg,1010,Lager
64,Sub Hop,2014-06-01,abv,8,Lager
64,Sub Hop,2014-06-01,ibu,35,Lager
64,Sub Hop,2014-06-01,srm,7.5,Lager
64,Sub Hop,2014-06-01,ph,4.4,Lager
64,Sub Hop,2014-06-01,target_fg,1016,Lager
65,Bracken's Porter,2013-03-01,abv,5,Ale
65,Bracken's Porter,2013-03-01,ibu,50,Ale
65,Bracken's Porter,2013-03-01,srm,55,Ale
65,Bracken's Porter,2013-03-01,ph,4.4,Ale
65,Bracken's Porter,2013-03-01,target_fg,1010,Ale
66,Tokyo Rising Sun - Lowland,2009-06-01,abv,13.2,Ale
